BE,KE,Exp,Comp_1,Comp_2,Comp_3,BG,envelope
284.124,1035.8709999999999,211.35699999999997,208.90299999999996,6.909999999999997,0.0,0.0,215.812
284.024,1036.018,144.73700000000002,151.777,5.1650000000000205,0.0,0.0,156.942
283.924,1036.147,89.76600000000002,107.36700000000002,3.8200000000000216,0.0,0.0,111.18700000000001
283.824,1036.272,77.01299999999998,73.99799999999999,2.799999999999983,0.0,0.0,76.79799999999997
283.724,1036.386,43.416,49.66999999999999,2.032999999999987,0.0,0.0,51.70400000000001
283.624,1036.494,21.757000000000005,32.477000000000004,1.4620000000000175,0.0,0.0,33.93800000000002
283.524,1036.594,2.867999999999995,20.766999999999996,1.0390000000000157,0.0,0.0,21.807000000000016
283.424,1036.696,4.536999999999978,12.955999999999989,0.7319999999999993,0.0,0.0,13.687999999999988
283.324,1044.203,0.0,7.878999999999991,0.5099999999999909,0.0,0.0,8.38900000000001
283.224,1042.637,0.0,4.671999999999997,0.35300000000000864,0.0,0.0,5.024000000000001
283.124,1044.681,0.0,2.7159999999999798,0.23999999999998067,0.0,0.0,2.955999999999989
283.024,1045.337,0.0,1.539999999999992,0.16300000000001091,0.0,0.0,1.7019999999999982
282.924,1045.714,0.0,0.8499999999999943,0.10799999999997567,0.0,0.0,0.9579999999999984
282.824,1038.87,0.0,0.4579999999999984,0.07200000000000273,0.0,0.0,0.5310000000000059
282.724,1047.303,0.0,0.24199999999999022,0.046999999999997044,0.0,0.0,0.28999999999999204
282.624,1047.403,0.0,0.12399999999999523,0.03100000000000591,0.0,0.0,0.15500000000000114
282.524,1050.0030000000002,0.0,0.06200000000001182,0.020000000000010232,0.0,0.0,0.08199999999999363
282.424,1052.8809999999999,0.0,0.03099999999997749,0.012999999999976808,0.0,0.0,0.042999999999977945
282.324,1050.759,0.0,0.01500000000001478,0.008000000000009777,0.0,0.0,0.022999999999996135
282.224,1052.803,0.0,0.007000000000005002,0.0049999999999954525,0.0,0.0,0.012000000000000455
282.124,1050.9589999999998,0.0,0.0030000000000143245,0.0030000000000143245,0.0,0.0,0.006000000000000227
282.024,1053.5590000000002,0.0,0.0020000000000095497,0.0020000000000095497,0.0,0.0,0.0030000000000143245
281.924,1050.603,0.0,0.0,0.0010000000000047748,0.0,0.0,0.0010000000000047748
281.824,1041.5369999999998,0.0,0.0010000000000047748,0.0010000000000047748,0.0,0.0,0.0010000000000047748
281.724,1048.5810000000001,0.0,0.0,0.0,0.0,0.0,0.0
281.624,1047.848,0.0,0.0,0.0,0.0,0.0,0.0010000000000047748
281.524,1047.114,0.0,0.0,0.0,0.0,0.0,0.0
281.424,1046.659,0.0,0.0,0.0,0.0,0.0,0.0
281.324,1037.5919999999999,0.0,0.0,0.0,0.0,0.0,0.0
281.224,1043.526,0.0,0.0,0.0,0.0,0.0,0.0
281.124,1047.2369999999999,0.0,0.0,0.0,0.0,0.0,0.0
281.024,1047.892,0.0,0.0,0.0,0.0,0.0,0.0
280.924,1052.714,0.0,0.0,0.0,0.0,0.0,0.0
280.824,1054.759,0.0,0.0,0.0,0.0,0.0,0.0
280.724,1049.5810000000001,0.0,0.0,0.0,0.0,0.0,0.0
280.624,1045.514,0.0,0.0,0.0,0.0,0.0,0.0
280.524,1058.948,0.0,0.0,0.0,0.0,0.0,0.0
280.424,1051.826,0.0,0.0,0.0,0.0,0.0,0.0
280.324,1054.9809999999998,0.0,0.0,0.0,0.0,0.0,0.0
280.224,1053.137,0.0,0.0,0.0,0.0,0.0,0.0
280.124,1054.348,0.0,0.0,0.0,0.0,0.0,0.0
280.024,1064.726,0.0,0.0,0.0,0.0,0.0,0.0
279.924,1054.27,0.0,0.0,0.0,0.0,0.0,0.0
279.824,1054.37,0.0,0.0,0.0,0.0,0.0,0.0
279.724,1047.803,0.0,0.0,0.0,0.0,0.0,0.0
